trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.48354936709971,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-109.44568275685283,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-12.188500523299746,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-66.0126214796317,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-92.94577047433569,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-67.51771835544581,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-42.700322127944844,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,-79.35328869864333,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-68.80339584918136,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,-49.28590995633095,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,0,-126.55495456220827,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,0,-20.785572042221688,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",30,0,-51.87305707675287,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,0,-17.571407671222474,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,0,-61.89797851003804,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,16,-1.6425428876309995,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-54.3090923743211,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",30,0,26.107433246384428,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,-42.25996046471861,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-18.0971200692977,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-77.40342702189494,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-68.5021223244534,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,15.536890861422771,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,27.425427895728706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,11.44913942772238,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-39.96593691575793,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-10.38235579535321,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-106.07106463972325,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,14.82087859117383,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-37.90623782487278,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
