trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0005, 'e': 1.0}",25,0,-121.63725927780638,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.0005, 'e': 0.9995001249791693}",30,0,-171.58451500655283,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.0005, 'e': 0.999000499833375}",20,0,-54.78801799296051,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.0005, 'e': 0.9985011244377109}",20,0,-23.97869157234973,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.0005, 'e': 0.9980019986673331}",20,0,-24.940551769736793,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.0005, 'e': 0.9975031223974601}",20,0,-138.62077913713216,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.0005, 'e': 0.997004495503373}",25,0,-188.42014515297623,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.0005, 'e': 0.9965061178604149}",20,0,-70.93074091453678,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.0005, 'e': 0.9960079893439915}",25,0,-72.25456311786081,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.0005, 'e': 0.9955101098295706}",20,0,-49.58788727327854,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.0005, 'e': 0.9950124791926823}",30,0,-189.66637099229948,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.0005, 'e': 0.9945150973089191}",20,0,-84.52466390914617,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.0005, 'e': 0.9940179640539353}",20,0,-52.85323572162668,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.0005, 'e': 0.9935210793034477}",25,0,-88.56122807827539,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.0005, 'e': 0.9930244429332351}",25,0,-27.888345779935612,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.0005, 'e': 0.9925280548191384}",25,0,-45.018087171914715,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
